Country,No. of Active Weeks
Fiji,5
Peru,5
Uruguay,5
Gabon,5
Ghana,5
Maldives,5
Kenya,5
Nauru,4
Samoa,4
Tonga,5
Belize,5
Brazil,4
Canada,5
The Gambia,5
Mexico,5
Ecuador,5
Panama,5
Bahamas,5
Trinidad & Tobago,5
Liberia,5
Namibia,4
Somalia,5
Vanuatu,3
Colombia,5
Malaysia,5
Pakistan,5
Tanzania,5
Argentina,3
Thailand,5
Indonesia,5
Mauritius,5
Sri Lanka,5
Bangladesh,5
Cabo Verde,4
Madagascar,5
Federated States of Micronesia,5
Philippines,5
Timor Leste,5
Sierra Leone,5
Cote d'Ivoire,4
Papua New Guinea,4
Dominican Republic,5
Sao Tome & Principe,5
Dominica,2
South Korea,2
