Organization,No. of Active Weeks
" Panama - Ministerio de Ambiente de ",5
Bahamas - Royal Bahamas Defence Forc,5
Bangladesh - Navy,5
Belize Coast Guard,5
Bénin- Eco-Bénin,5
Canada - Department of Fisheries and,5
Colombia - Armada Nacional de Colomb,5
Colombia - Unidad Administrativa Esp,5
Critical Maritime Routes Indian Ocea,5
Dominican Republic  - Fuerzas Armada,5
EcoFish,5
Ecuador - Armada del Ecuador,5
"Ecuador - Subsecretaria de Recursos ",5
Exulans,5
Falkland Islands - Natural Resources,5
Federated States of Micronesia - Mar,5
Fiji - Police,5
Gabon - Agence Nationale des Parcs N,5
Ghana - Navy,5
Global Fishing Watch,5
Indonesia - Indonesian Maritime Secu,5
Indonesia - Ministry of Marine Affai,5
Liberia - Liberian National Coast Gu,5
Liberia - National Fisheries and Aqu,5
Madagascar - Centre de Fusion d'Info,5
Maldives - National Defense Force Co,5
Marine Management Organisation,5
Mauritius - Ministry of Blue Economy,5
Mauritius - National Coast Guard,5
"Mexico - Comisión Nacional de Áreas ",5
Mexico SEMAR,5
Mozambique - Parque Nacional de Mapu,5
"Multinational Maritime Coordination ",5
OceanMind,5
Pakistan - Joint Maritime Informatio,5
Panama - Autoridad de los Recursos A,5
Panama - Ministerio de Ambiente de P,5
Panama - Servicio Nacional Aeronaval,5
Peru - Servicio Nacional de Áreas Na,5
Philippines - Bureau of Customs,5
Philippines - Bureau of Fisheries an,5
Philippines - Coast Guard,5
Philippines - National Coast Watch C,5
Regional Centre for Operational Coop,5
Regional Maritime Information Fusion,5
Sao Tome & Principe - Direcção das P,5
Sao Tome & Principe - Forças Armadas,5
Sierra Leone - Navy,5
"Somalia - Ministry of Fisheries and ",5
"Sri Lanka - Department of Fisheries ",5
Sri Lanka - Navy,5
Tanzania - People's Defence Force,5
The Gambia - Navy,5
Timor Leste - Centro de Operações Ma,5
Timor Leste - Fisheries,5
Tonga - Maritime Coordination Centre,5
Trinidad & Tobago - Coast Guard,5
UNODC,5
Uruguay - Mar Azul Uruguayo,5
Vulcan Test,5
Brazil - Polícia Federal,4
Cabo Verde - Guarda Costeira,4
Chile - Koro Nui O Te Vaikava,4
EarthRanger,4
Errhalt Consulting,4
Gabon - Marine Nationale du Gabon,4
Kenya - Fisheries Service,4
Malaysia - Royal Malaysia Police,4
Maldives - Customs Service,4
Mexico - Centro para la Biodiversida,4
"Namibia - Ministry of Fisheries and ",4
Nauru - Police,4
Naval Information Warfare Center Pac,4
Papua New Guinea - Customs,4
Parcs de Noé,4
Philippines - National Police Mariti,4
Philippines - Navy,4
Samoa - Police,4
Timor Leste - Police,4
Argentina - Prefectura Naval Argenti,3
Combined Maritime Forces,3
Cote d’Ivoire - Direction de l'Aquac,3
Círculo de Políticas Ambientales,3
Gabon - Agence Gabonaise d'Études et,3
Ghana - Fisheries Division,3
"GoGIN (Gulf of Guinea Interregional ",3
Somalia - Navy,3
Ursa Space Systems,3
Vanuatu - Police Maritime Wing,3
Dominica - Oceans Forward,2
Global Conservation,2
Korea - Coast Guard,2
NOAA Office of Law Enforcement,2
Trinidad and Tobago - National Coast,2
WCS Thailand,2
WildAid,2
BCN Group,1
Brazil - Marinha do Brasil,1
Gabon - Centre de Surveillance des P,1
NOAA CoastWatch,1
NOAA Fisheries and Port States Measu,1
Sierra Leone - Joint Maritime Commit,1
US Coast Guard District 17,1
US PACOM,1
African Parks,0
Colombia - Corporación para el Desa,0
Mexico - Global Conservation,0
NASK,0
WCS Belize,0
