engagement,organization,Sessions
Colombia,Colombia - Armada Nacional de Colomb,234
Sri Lanka,Sri Lanka - Navy,230
"Eastern and Southern Africa and the ",Regional Maritime Information Fusion,227
Pakistan,Pakistan - Joint Maritime Informatio,199
Panama,Panama - Autoridad de los Recursos A,192
Maldives,Maldives - National Defense Force Co,171
Somalia,"Somalia - Ministry of Fisheries and ",135
Tanzania,Tanzania - People's Defence Force,125
Sierra Leone,Sierra Leone - Navy,118
Ecuador,Ecuador - Armada del Ecuador,110
Colombia MPAs,Colombia - Unidad Administrativa Esp,106
Panama,Panama - Servicio Nacional Aeronaval,106
Trinidad & Tobago,Trinidad & Tobago - Coast Guard,106
UK Overseas Territories Blue Belt,Marine Management Organisation,92
West Africa Zone F,"Multinational Maritime Coordination ",90
Bahamas,Bahamas - Royal Bahamas Defence Forc,84
Indonesia,Indonesia - Indonesian Maritime Secu,81
Bangladesh,Bangladesh - Navy,79
Mexico - Revillagigedo MPA,"Mexico - Comisión Nacional de Áreas ",78
Philippines,Philippines - National Coast Watch C,78
"Eastern and Southern Africa and the ",Regional Centre for Operational Coop,68
Belize,Belize Coast Guard,63
Sao Tome & Principe,Sao Tome & Principe - Forças Armadas,61
Uruguay,Uruguay - Mar Azul Uruguayo,58
EU NAVFOR - MSCHOA,EU NAVFOR,55
Mexico,Mexico SEMAR,53
Crimario Tender,Critical Maritime Routes Indian Ocea,47
Falkland Islands,Falkland Islands - Natural Resources,47
Madagascar,Madagascar - Centre de Fusion d'Info,46
Mauritius,Mauritius - National Coast Guard,46
Timor Leste,Timor Leste - Fisheries,46
Peru,Peru - Servicio Nacional de Áreas Na,44
UNODC Pacific,UNODC,43
Panama," Panama - Ministerio de Ambiente de ",42
Seychelles,Seychelles - National Information Sh,42
Sri Lanka,"Sri Lanka - Department of Fisheries ",42
The Gambia,The Gambia - Navy,42
Ecuador,"Ecuador - Subsecretaria de Recursos ",40
Mexico - Isla Guadalupe MPA,"Mexico - Comisión Nacional de Áreas ",40
Canada,Canada - Department of Fisheries and,39
Philippines,Philippines - Coast Guard,39
Sao Tome & Principe,Sao Tome & Principe - Direcção das P,38
"Mozambique - Bazaruto National Park ",Mozambique - Parque Nacional de Mapu,36
Philippines,Philippines - Bureau of Customs,34
Philippines,Philippines - Bureau of Fisheries an,34
Liberia,Liberia - National Fisheries and Aqu,33
Timor Leste,Timor Leste - Centro de Operações Ma,33
Mexico - Islas Marias MPA,"Mexico - Comisión Nacional de Áreas ",32
Panama,Panama - Ministerio de Ambiente de P,29
EcoFish,EcoFish,26
Liberia,Liberia - Liberian National Coast Gu,26
Indonesia,"Indonesia -  Directorate General of ",25
Thailand,Thailand - Maritime Enforcement Coor,25
Ghana,Ghana - Navy,23
Indonesia,Indonesia - Ministry of Marine Affai,23
Philippines,Philippines - Drug Enforcement Agenc,21
Philippines,Philippines - Navy,21
UNODC Southeast Asia,UNODC,21
Federated States of Micronesia,Federated States of Micronesia - Mar,20
Kenya,Kenya - Fisheries Service,20
Trygg Mat Tracking,Trygg Mat Tracking,19
Tonga,Tonga - Maritime Coordination Centre,18
Trinidad & Tobago,Trinidad & Tobago - Fisheries Divisi,18
Gabon,Gabon - Marine Nationale du Gabon,17
Gabon MPAs,Gabon - Agence Nationale des Parcs N,16
Indonesia,Indonesia - Navy,16
OceanMind,OceanMind,16
Gabon,Gabon - Agence Nationale des Parcs N,15
Thailand,Thailand - Department of Fisheries,15
Bénin,Bénin- Eco-Bénin,14
Mauritius,Mauritius - Ministry of Blue Economy,13
Togo,Togo - L'Organisme national chargé d,13
Cabo Verde,Cabo Verde - Guarda Costeira,12
