"country_name","country_code","country","year","aquaculture_production_metric_tons","capture_fisheries_production_metric_tons","total_fisheries_production_metric_tons"
"Albania","ALB","Albania","1996",323,2126.2,2449.2
"Albania","ALB","Albania","1997",97,1013.8,1110.8
"Albania","ALB","Albania","1998",124,2683.5,2807.5
"Albania","ALB","Albania","1999",310,2747.9,3057.9
"Albania","ALB","Albania","2000",307,3328,3635
"Albania","ALB","Albania","2001",286,3311.2,3597.2
"Albania","ALB","Albania","2002",860,3656.8,4516.8
"Albania","ALB","Albania","2003",1473,2801.6,4274.6
"Albania","ALB","Albania","2004",1569,4549.5,6118.5
"Albania","ALB","Albania","2005",1473,5000,6473
"Albania","ALB","Albania","2006",2057,5652.3,7709.3
"Albania","ALB","Albania","2007",2092,5413.4,7505.4
"Albania","ALB","Albania","2008",2000,5365,7365
"Albania","ALB","Albania","2009",2317,5811,8128
"Albania","ALB","Albania","2010",2520,5132.2,7652.2
"Albania","ALB","Albania","2011",2345,4805.2,7150.2
"Albania","ALB","Albania","2012",3450,8605.2,12055.2
"Albania","ALB","Albania","2013",3700,8973.09,12673.09
"Albania","ALB","Albania","2014",4000,8705.05,12705.05
"Albania","ALB","Albania","2015",3495,7855.1,11350.1
"Albania","ALB","Albania","2016",4750,7862.09,12612.09
"Albania","ALB","Albania","2017",4430,8563.2,12993.2
"Albania","ALB","Albania","2018",6258,8648.3,14906.3
"Albania","ALB","Albania","2019",6300,8711.5,15011.5
"Albania","ALB","Albania","2020",9084,7627.16,16711.16
"Albania","ALB","Albania","2021",8641,9641.5,18282.5
"Algeria","DZA","Algeria","1996",322,81995.8,82317.8
"Algeria","DZA","Algeria","1997",322,91585.4,91907.4
"Algeria","DZA","Algeria","1998",283,92337,92620
"Algeria","DZA","Algeria","1999",250,102399,102649
"Algeria","DZA","Algeria","2000",351,113159.9,113510.9
"Algeria","DZA","Algeria","2001",454,133628,134082
"Algeria","DZA","Algeria","2002",476,134324.8,134800.8
"Algeria","DZA","Algeria","2003",417,140959,141376
"Algeria","DZA","Algeria","2004",586,113464.2,114050.2
"Algeria","DZA","Algeria","2005",368,126260.3,126628.3
"Algeria","DZA","Algeria","2006",288,145763.8,146051.8
"Algeria","DZA","Algeria","2007",405,147363.13,147768.13
"Algeria","DZA","Algeria","2008",2779.91,138862.43,141642.34
"Algeria","DZA","Algeria","2009",2163.23,127777,129940.23
"Algeria","DZA","Algeria","2010",1758.75,93464,95222.75
"Algeria","DZA","Algeria","2011",2245.77,101814.86,104060.63
"Algeria","DZA","Algeria","2012",2644,105543.4,108187.4
"Algeria","DZA","Algeria","2013",2192.75,100973.14,103165.89
"Algeria","DZA","Algeria","2014",2479.89,97683.17,100163.06
"Algeria","DZA","Algeria","2015",1332.29,95798.9,97131.19
"Algeria","DZA","Algeria","2016",1959.59,100004.86,101964.45
"Algeria","DZA","Algeria","2017",4467.31,103875.32,108342.63
"Algeria","DZA","Algeria","2018",5108.42,115057.99,120166.41
"Algeria","DZA","Algeria","2019",4835.47,100553.1,105388.57
"Algeria","DZA","Algeria","2020",5435.99,71518.72,76954.71
"Algeria","DZA","Algeria","2021",4779.29,79200,83979.29
"Angola","AGO","Angola","1996",0,137815,137815
"Angola","AGO","Angola","1997",0,146304,146304
"Angola","AGO","Angola","1998",0,163149,163149
"Angola","AGO","Angola","1999",0,175799,175799
"Angola","AGO","Angola","2000",5,239351,239356
"Angola","AGO","Angola","2001",11,254553,254564
"Angola","AGO","Angola","2002",51,255443,255494
"Angola","AGO","Angola","2003",72,212033,212105
"Angola","AGO","Angola","2004",92,240002,240094
"Angola","AGO","Angola","2005",126,202616,202742
"Angola","AGO","Angola","2006",156,225741,225897
"Angola","AGO","Angola","2007",190,306436,306626
"Angola","AGO","Angola","2008",190,305860,306050
"Angola","AGO","Angola","2009",260,272042,272302
"Angola","AGO","Angola","2010",310,310000,310310
"Angola","AGO","Angola","2011",310,342000,342310
"Angola","AGO","Angola","2012",310,374000,374310
"Angola","AGO","Angola","2013",57,407000,407057
"Angola","AGO","Angola","2014",305,442084,442389
"Angola","AGO","Angola","2015",872,495232,496104
"Angola","AGO","Angola","2016",655,486490,487145
"Angola","AGO","Angola","2017",1339,531575,532914
"Angola","AGO","Angola","2018",1762,443066,444828
"Angola","AGO","Angola","2019",1934,399762,401696
"Angola","AGO","Angola","2020",2062,375345,377407
"Angola","AGO","Angola","2021",2808,528964,531772
"Antigua and Barbuda","ATG","Antigua & Barbuda","1996",5,1434,1439
"Antigua and Barbuda","ATG","Antigua & Barbuda","1997",5,1639,1644
