"term","estimate","std.error","statistic","p.value","indicator"
"(Intercept)",2.14953271028037,0.147836814960347,14.5399013828655,1.94844165742185e-39,1
"skylight_treatment",0.00733003481766414,0.260211240337763,0.0281695548899021,0.977539604702017,1
"pre_post_treatment",0.182242990654205,0.181062380925552,1.00652045843326,0.314714722842856,1
"skylight_treatment:pre_post_treatment",-0.0857724024189117,0.331388871615304,-0.258827045099093,0.795888908106941,1
"(Intercept)",2.53846153846154,0.176053367058543,14.4187048556556,1.4260986278493e-35,2
"skylight_treatment",-0.597285067873306,0.300415595330886,-1.98819594307493,0.0477705932276689,2
"pre_post_treatment",-0.127608825283247,0.215898858071063,-0.591058361416828,0.554961565196392,2
"skylight_treatment:pre_post_treatment",0.0382842065468622,0.378385517635434,0.101177779704952,0.919482268265115,2
"(Intercept)",1.21495327102805,0.0888790631910595,13.6697353393152,9.67588205540657e-36,3
"skylight_treatment",0.157595748579804,0.156438240902358,1.00739913508852,0.314292930348783,3
"pre_post_treatment",0.200934579439254,0.108854176817339,1.84590601219124,0.0655728497122943,3
"skylight_treatment:pre_post_treatment",-0.0134835990470958,0.199230025816036,-0.0676785489128342,0.946072060375356,3
"(Intercept)",1.33644859813085,0.0716596597624875,18.6499433929835,1.02282221053403e-57,4
"skylight_treatment",-0.0619387942092732,0.126129942355566,-0.491071295621979,0.623619203552144,4
"pre_post_treatment",-0.0934579439252328,0.0877648007797729,-1.06486818285779,0.287515638071846,4
"skylight_treatment:pre_post_treatment",0.0189481400036648,0.16063125951,0.117960477066951,0.906152438800001,4
"(Intercept)",1.29906542056076,0.0747635173866241,17.3756594923552,6.02780863731233e-52,5
"skylight_treatment",0.0734835990470973,0.131593119050931,0.558415208766779,0.576843011983239,5
"pre_post_treatment",-0.0280373831775689,0.0915662344864638,-0.30619783957277,0.759597866669826,5
"skylight_treatment:pre_post_treatment",-0.024511636430275,0.167588821981791,-0.146260568816089,0.883782223898475,5
"(Intercept)",2.44444444444444,0.231689091697312,10.550537474755,1.90067790730617e-22,6
"skylight_treatment",0.255555555555552,0.387690003214259,0.659174994033359,0.510271175275008,6
"pre_post_treatment",0.0833333333333321,0.28376002681366,0.293675378696153,0.769201854537106,6
"skylight_treatment:pre_post_treatment",0.25056497175142,0.492596235988876,0.508661969875626,0.611349829971808,6
"(Intercept)",3.79545454545454,0.217498415664973,17.4504928408349,2.39842451766427e-48,7
"skylight_treatment",0.244545454545446,0.361335505941912,0.676782243992259,0.499034573481683,7
"pre_post_treatment",-0.581550802139044,0.241735973758469,-2.40572717869497,0.0167090470908513,7
"skylight_treatment:pre_post_treatment",-0.145016362040051,0.415644567501264,-0.348895121887067,0.727398218627481,7
"(Intercept)",3.91588785046727,0.186961302075111,20.9449110965973,3.31221702139131e-68,8
"skylight_treatment",-0.641378046545729,0.329075219330022,-1.94903173764204,0.0519224292146574,8
"pre_post_treatment",-0.504672897196265,0.228979895865186,-2.20400526993599,0.0280375870819084,8
"skylight_treatment:pre_post_treatment",0.363496426608036,0.419089757493879,0.867347435980574,0.38622123992064,8
"(Intercept)",1.47058823529412,0.155022215689316,9.4863063900555,5.20867098630427e-19,9
"skylight_treatment",-0.146263910969793,0.26114861526914,-0.560079213206063,0.575810061117263,9
"pre_post_treatment",0.0973129992737834,0.184714228601674,0.526830012016201,0.598669925446643,9
"skylight_treatment:pre_post_treatment",-0.167669069629853,0.322839337987643,-0.519357618173134,0.603863799245678,9
"(Intercept)",2.76635514018691,0.133955969362545,20.6512270662602,7.33409794680577e-67,10
"skylight_treatment",0.665017408832698,0.235779220134205,2.82050898486377,0.0050100578577634,10
"pre_post_treatment",1.13539837631125e-15,0.164061886469066,6.9205493167685e-15,0.999999999999994,10
"skylight_treatment:pre_post_treatment",0.115294117647059,0.300273768378295,0.38396333542465,0.701189843684465,10
